post_id,data_postagem,tipo_conteudo,legenda,hashtags,curtidas,comentarios,alcance,impressoes,salvamentos,compartilhamentos,visualizacoes_video,seguidores,cliques_link,visitas_perfil,idade_media,genero_predominante,localizacao_principal
1,2025-02-05 14:01:59.543224335,image,Legenda sobre o post 1 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal1 #outrotema #marketingdigital #redessociais,1428,313,19992,19992,58,51,,16036,43,188,20,Feminino,Outros
2,2025-02-05 16:01:37.401185751,video,Legenda sobre o post 2 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal2 #outrotema #marketingdigital #redessociais,1461,107,10227,10227,70,160,4662.0,16038,71,58,19,Feminino,Outros
3,2025-02-05 20:46:07.535075426,image,Legenda sobre o post 3 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal3 #outrotema #marketingdigital #redessociais,522,42,6786,13572,108,33,,16040,20,37,27,Masculino,Porto Alegre
4,2025-02-05 21:14:17.234174728,image,Legenda sobre o post 4 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal4 #outrotema #marketingdigital #redessociais,2000,370,6000,12000,83,171,,16042,40,10,22,Masculino,Belo Horizonte
5,2025-02-05 23:08:01.756921291,image,Legenda sobre o post 5 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal5 #outrotema #marketingdigital #redessociais,1226,326,17164,17164,44,12,,16044,54,36,42,Feminino,São Paulo
6,2025-02-06 00:13:00.058491707,video,Legenda sobre o post 6 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal6 #outrotema #marketingdigital #redessociais,2925,469,14625,29250,128,12,7571.0,16046,69,45,26,Feminino,São Paulo
7,2025-02-06 00:32:32.048478603,video,Legenda sobre o post 7 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal7 #outrotema #marketingdigital #redessociais,3482,433,87050,87050,61,154,14870.0,16048,11,225,35,Masculino,Rio de Janeiro
8,2025-02-06 01:16:03.466867924,reels,Legenda sobre o post 8 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal8 #outrotema #marketingdigital #redessociais,3089,248,61780,61780,124,42,9126.0,16050,58,147,33,Masculino,Outros
9,2025-02-06 01:57:12.670596838,carousel,Legenda sobre o post 9 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal9 #outrotema #marketingdigital #redessociais,1189,373,14268,28536,24,184,,16052,60,239,42,Masculino,Rio de Janeiro
10,2025-02-06 03:58:51.427326918,video,Legenda sobre o post 10 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal10 #outrotema #marketingdigital #redessociais,3662,315,84226,84226,105,165,13115.0,16054,49,57,36,Feminino,Rio de Janeiro
11,2025-02-06 05:40:01.407190084,video,Legenda sobre o post 11 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal11 #outrotema #marketingdigital #redessociais,1556,425,32676,32676,0,73,579.0,16056,77,223,21,Feminino,São Paulo
12,2025-02-06 11:35:31.766540051,carousel,Legenda sobre o post 12 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal12 #outrotema #marketingdigital #redessociais,4280,5,34240,68480,44,29,,16058,50,110,18,Masculino,São Paulo
13,2025-02-06 11:38:22.776493073,carousel,Legenda sobre o post 13 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal13 #outrotema #marketingdigital #redessociais,4265,481,115155,115155,28,65,,16060,51,271,25,Masculino,São Paulo
14,2025-02-06 15:40:36.582786083,image,Legenda sobre o post 14 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal14 #outrotema #marketingdigital #redessociais,4728,363,99288,99288,85,195,,16062,2,141,24,Masculino,Outros
15,2025-02-06 19:42:40.741536617,image,Legenda sobre o post 15 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal15 #outrotema #marketingdigital #redessociais,3950,199,49375,98750,103,129,,16064,62,284,20,Masculino,Rio de Janeiro
16,2025-02-06 20:59:20.077874184,video,Legenda sobre o post 16 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal16 #outrotema #marketingdigital #redessociais,2108,57,23188,46376,13,16,1542.0,16066,27,296,26,Feminino,Outros
